"INT1006","Tin học cơ sở 4","3","INT1006 2","80","TS.Bùi Ngọc Thăng","Sáng","3","4-5","308-GĐ2","CL"
"INT1006","Tin học cơ sở 4","3","INT1006 2","26","TS.Bùi Ngọc Thăng","Sáng","6","3-5","PM 313-G2","N1"
"INT1006","Tin học cơ sở 4","3","INT1006 2","26","ThS.Hoàng Thị Ngọc Trang","Chiều","6","6-8","PM 313-G2","N3"
"INT1006","Tin học cơ sở 4","3","INT1006 2","28","TS.Ngô Thị Duyên","Sáng","6","3-5","PM 405-E3","N2"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 4","35","ĐHNN","Sáng","2","3-5","301-GĐ2","N1"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 4","35","ĐHNN","Sáng","5","1-3","301-GĐ2","N1"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 5","35","ĐHNN","Sáng","2","3-5","302-GĐ2","N2"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 5","35","ĐHNN","Sáng","5","3-5","302-GĐ2","N2"
"MAT1042","Giải tích 2","4","MAT1042 2","80","TS.Lã Đức Việt","Sáng","4","4-5","308-GĐ2","CL"
"MAT1042","Giải tích 2","4","MAT1042 2","26","ThS.Dương Thị Thanh Hương","Sáng","5","4-5","301-GĐ2","N1"
"MAT1042","Giải tích 2","4","MAT1042 2","26","ThS.Dương Thị Thanh Hương","Sáng","5","1-2","302-GĐ2","N2"
"MAT1042","Giải tích 2","4","MAT1042 2","28","ThS.Dương Thị Thanh Hương","Sáng","6","1-2","306-GĐ2","N3"
"PHY1103","Điện và Quang (tuần 1,2,3,5,6,8,10,12,13,14)","3","PHY1103 2","80","PGS.TS.Hoàng Nam Nhật","Sáng","4","1-3","308-GĐ2","CL"
"PHY1103","Điện và Quang (tuần 4,7,9,11,15)","3","PHY1103 2","40","PGS.TS.Hoàng Nam Nhật","Sáng","4","1-2","308-GĐ2","N1"
"PHY1103","Điện và Quang (tuần 4,7,9,11,15)","3","PHY1103 2","40","PGS.TS.Hoàng Nam Nhật","Chiều","4","6-7","306-GĐ2","N2"
"PHI1005","Những nguyên lý cơ bản của chủ nghĩa  Mác – Lênin 2","3","PHI1005 2","80","PGS.TS.Phạm Công Nhất","Sáng","3","1-3","308-GĐ2"," "
"MNS1052","Khoa học quản lý đại cương","2","MNS1052 1","120","TS.Nguyễn Văn Chiều","Sáng","2","1-2","3-G3","CL"
"PES 1003","Lý luận GDTC & các môn TT cơ bản","1","PES 1003 41","55","TT GDTC","Chiều","2","6-7","Sân bãi",""
"PES 1003","Lý luận GDTC & các môn TT cơ bản","1","PES 1003 42","55","TT GDTC","Chiều","2","8-9","Sân bãi",""
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 6","35","ĐHNN","Chiều","4","6-8","301-GĐ2"," "
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 6","35","ĐHNN","Chiều","6","6-8","301-GĐ2"," "
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 7","35","ĐHNN","Chiều","4","8-10","302-GĐ2"," "
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 7","35","ĐHNN","Chiều","6","6-8","302-GĐ2"," "
"INT1006","Tin học cơ sở 4","3","INT1006 3","80","TS.Bùi Ngọc Thăng","Chiều","3","6-7","308-GĐ2","CL"
"INT1006","Tin học cơ sở 4","3","INT1006 3","26","ThS.Hoàng Thị Ngọc Trang","Chiều","5","6-8","PM 405-E3","N1"
"INT1006","Tin học cơ sở 4","3","INT1006 3","26","TS.Bùi Ngọc Thăng","Chiều","5","6-8","PM 307-G2","N2"
"INT1006","Tin học cơ sở 4","3","INT1006 3","28","TS.Ngô Thị Duyên","Sáng","3","2-4","PM 307-G2","N3"
"PHY1103","Điện và Quang 
(tuần 1,2,3,5,6,8,10,12,13,14)","3","PHY1103 3","80","TS.Đặng Đình Long","Chiều","3","8-10","308-GĐ2","CL"
"PHY1103","Điện và Quang (tuần 4,7,9,11,15)","3","PHY1103 3","80","TS.Đặng Đình Long","Chiều","3","8-9","308-GĐ2","N1"
"PHY1103","Điện và Quang (tuần 4,7,9,11,15)","3","PHY1103 3","80","TS.Đặng Đình Long","Sáng","4","1-2","3-G3","N2"
"MAT1042","Giải tích 2","4","MAT1042 3","80","ThS.Nguyễn Văn Quang","Chiều","2","6-7","308-GĐ2","CL"
"MAT1042","Giải tích 2","4","MAT1042 3","26","ThS.Nguyễn Văn Quang","Chiều","4","9-10","301-GĐ2","N1"
"MAT1042","Giải tích 2","4","MAT1042 3","26","ThS.Nguyễn Văn Quang","Chiều","4","6-7","302-GĐ2","N2"
"MAT1042","Giải tích 2","4","MAT1042 3","24","ThS.Nguyễn Văn Quang","Sáng","2","4-5","304-GĐ2","N3"
"PHI1005","Những nguyên lý cơ bản của chủ nghĩa  Mác – Lênin 2","3","PHI1005 3","80","TS.Phạm Hoàng Giang","Chiều","2","8-10","308-GĐ2"," "
"MNS1052","Khoa học quản lý đại cương","2","MNS1052 2","108","TS.Nguyễn Thị Kim Chi","Chiều","5","9-10","3-G3"," "
"PES 1003","Lý luận GDTC & các môn TT cơ bản","1","PES 1003 41","55","TT GDTC","Chiều","2","6-7","Sân bãi",""
"PES 1003","Lý luận GDTC & các môn TT cơ bản","1","PES 1003 42","55","TT GDTC","Chiều","2","8-9","Sân bãi",""
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 8","35","ĐHNN","Chiều","2","6-8","305-GĐ2","N1"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 8","35","ĐHNN","Chiều","4","8-10","305-GĐ2","N1"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 9","35","ĐHNN","Chiều","2","8-10","306-GĐ2","N2"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 9","35","ĐHNN","Chiều","4","8-10","306-GĐ2","N2"
"INT1006","Tin học cơ sở 4","3","INT1006 4","80","TS.Ngô Thị Duyên","Chiều","6","9-10","308-GĐ2","CL"
"INT1006","Tin học cơ sở 4","3","INT1006 4","26","CN.Ngô Văn Tân","Sáng","3","2-4","PM 313-G2","N1"
"INT1006","Tin học cơ sở 4","3","INT1006 4","26","TS.Ngô Thị Duyên","Chiều","3","6-8","PM 313-G2","N2"
"INT1006","Tin học cơ sở 4","3","INT1006 4","28","CN.Ngô Văn Tân","Chiều","3","6-8","PM 405-E3","N3"
"PHY1103","Điện và Quang
(tuần 1,2,4,5,7,9,10,11,13,15)","3","PHY1103 4","80","TS.Đặng Đình Long","Chiều","6","6-8","308-GĐ2","CL"
"PHY1103","Điện và Quang (tuần 3,6,8,12,14)","3","PHY1103 4","80","TS.Đặng Đình Long","Chiều","6","6-7","308-GĐ2","N1"
"PHY1103","Điện và Quang (tuần 3,6,8,12,14)","3","PHY1103 4","80","TS.Đặng Đình Long","Sáng","4","1-2","3-G3","N2"
"MAT1042","Giải tích 2","4","MAT1042 4","80","PGS.TS.Nguyễn Việt Khoa","Chiều","5","9-10","308-GĐ2","CL"
"MAT1042","Giải tích 2","4","MAT1042 4","26","PGS.TS.Nguyễn Việt Khoa","Chiều","2","9-10","305-GĐ2","N1"
"MAT1042","Giải tích 2","4","MAT1042 4","26","PGS.TS.Nguyễn Việt Khoa","Chiều","2","6-7","306-GĐ2","N2"
"MAT1042","Giải tích 2","4","MAT1042 4","28","PGS.TS.Nguyễn Việt Khoa","Chiều","3","9-10","304-GĐ2","N3"
"PHI1005","Những nguyên lý cơ bản của chủ nghĩa  Mác – Lênin 2","3","PHI1005 4","80","PGS.TS.Phạm Công Nhất","Chiều","5","6-8","308-GĐ2"," "
"MNS1052","Khoa học quản lý đại cương","2","MNS1052 3","80","ThS.Vũ Thị Cẩm Thanh","Chiều","4","6-7","308-GĐ2"," "
"PES 1003","Lý luận GDTC & các môn TT cơ bản","1","PES 1003 41","55","TT GDTC","Chiều","2","6-7","Sân bãi",""
"PES 1003","Lý luận GDTC & các môn TT cơ bản","1","PES 1003 42","55","TT GDTC","Chiều","2","8-9","Sân bãi",""
"INT1006","Tin học cơ sở 4","3","INT1006 1","90","TS.Vũ Thị Hồng Nhạn","Sáng","2","4-5","103-G2","CL"
"INT1006","Tin học cơ sở 4","3","INT1006 1","30","TS.Vũ Thị Hồng Nhạn","Sáng","5","2-4","PM 313-G2","N1"
"INT1006","Tin học cơ sở 4","3","INT1006 1","30","ThS.Hoàng Thị Ngọc Trang","Sáng","5","2-4","PM 405-E3","N2"
"INT1006","Tin học cơ sở 4","3","INT1006 1","30","TS.Vũ Thị Hồng Nhạn","Chiều","5","6-8","PM 313-G2","N3"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 1","35","ĐHNN","Sáng","4","1-3","301-GĐ2","CL"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 1","35","ĐHNN","Sáng","6","1-3","301-GĐ2","CL"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 2","35","ĐHNN","Sáng","4","3-5","302-GĐ2","CL"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 2","35","ĐHNN","Sáng","6","1-3","302-GĐ2","CL"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 3","35","ĐHNN","Sáng","4","1-3","303-GĐ2","CL"
"FLF2102","Tiếng Anh cơ sở 2","5","FLF2102 3","35","ĐHNN","Sáng","6","1-3","303-GĐ2","CL"
"PHY1103","Điện và Quang
(tuần 1,2,3,5,6,8,10,12,13,14)","3","PHY1103 1","31","PGS.TS. Đỗ Thị Hương Giang","Sáng","3","3-5","103-G2","CL"
